pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_telescope,disc_instrument,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,st_spectype,st_rad,st_mass,st_metratio,st_age,st_dens,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_dist,sy_gaiamag,sy_tmag,sky_coord.ra,sky_coord.dec
75 Cet c,75 Cet,c,2,2,0,Radial Velocity,2023,1.88 m Telescope,HIDES Echelle Spectrograph,13.9,1.24,289.85951,0.912,0.593,G3 III,10.38,1.92,[Fe/H],,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,-54.44177,169.94418,-15.16759,35.32138,82.9613,5.09343,4.5054,38.0391598,-1.0350269
AF Lep b,AF Lep,b,1,1,0,Imaging,2023,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,13.1,1.17,1017.0509,3.2,2.49,F8 V,1.25,1.2,[Fe/H],0.024,1.45415,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,-24.04116,214.37435,-35.05939,80.14319,26.8564,6.18644,5.7932,81.7699216,-11.9011752
AU Mic d,AU Mic,d,1,3,0,Transit Timing Variations,2023,Multiple Telescopes,Multiple Instruments,1.02,0.091,1.053,0.00331,5.45,M1,0.74,0.51,[Fe/H],0.02,1.75,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.30682,9.7221,7.84038,6.755,311.2911369,-31.34245
BD-210397 b,BD-210397,b,1,2,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,14.0,1.25,214.0,0.7,0.429,K7 V,0.75,0.68,[Fe/H],6.2,2.23897,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,-70.45622,199.69949,-32.36798,22.68899,23.7324,9.25962,8.4502,33.3024198,-21.1962147
BD-210397 c,BD-210397,c,1,2,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,12.9,1.15,1525.57635,4.8,3.91,K7 V,0.75,0.69,[Fe/H],4.0,2.23897,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,-70.45622,199.69949,-32.36798,22.68899,23.7324,9.25962,8.4502,33.3024198,-21.1962147
DMPP-4 b,DMPP-4,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,3.53,0.315,12.2,0.03839,1.52,F5-F8 V,1.38,1.25,[Fe/H],2.15,0.64076,19h34m19.84s,293.5826648,+51d14m08.90s,51.2358069,14.58774,83.46183,70.67254,319.18331,25.3284,5.60037,5.2609,293.5826648,51.2358069
EPIC 229004835 b,EPIC 229004835,b,1,1,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,2.332,0.208,10.4,0.03272,4.49,,1.0,0.97,[Fe/H],4.9,1.52564,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,60.81426,289.77763,1.28515,186.50682,121.971,10.0494,9.63123,186.4860415,-1.4047214
GJ 1151 c,GJ 1151,c,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,3.25,0.29,10.62,0.03341,1.7,M 4.5V,0.18,0.16,[Fe/H],,29.34709,11h50m55.32s,177.7304866,+48d22m23.64s,48.3732334,65.72032,147.86957,42.4808,154.15439,8.03625,11.6938,10.2972,177.7304866,48.3732334
GJ 328 c,GJ 328,c,1,2,0,Radial Velocity,2023,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,4.91,0.438,21.4,0.06733,0.993,M0.0,0.63,0.65,[Fe/H],,3.21063,08h55m07.67s,133.7819507,+01d32m31.20s,1.5420011,27.99859,226.70991,-15.2121,135.78544,20.5266,9.2861,8.35839,133.7819507,1.5420011
GJ 367 c,GJ 367,c,1,3,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,1.86,0.166,4.13,0.01299,3.53,M1.0 V,0.46,0.46,[Fe/H],,6.69667,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,5.6589,272.24323,-54.30771,172.94487,9.41263,9.15159,8.031941,146.121464,-45.7790165
GJ 367 d,GJ 367,d,1,3,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,2.33,0.208,6.03,0.01897,2.62,M1.0 V,0.46,0.46,[Fe/H],,6.69667,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,5.6589,272.24323,-54.30771,172.94487,9.41263,9.15159,8.031941,146.121464,-45.7790165
GJ 3988 b,GJ 3988,b,1,1,0,Radial Velocity,2023,3.5 m telescope,CARMENES,1.74,0.156,3.69,0.01161,3.85,M4.5 V,0.2,0.18,[Fe/H],,25.95307,17h03m24.09s,255.8503747,+51d24m32.33s,51.4089795,37.48188,78.48019,73.27745,237.99548,9.9105,11.9925,10.5929,255.8503747,51.4089795
GJ 724 b,GJ 724,b,1,1,0,Radial Velocity,2023,3.5 m telescope,CARMENES,3.27,0.292,10.75,0.03382,1.69,M1.0 V,0.52,0.53,[Fe/H],,4.80552,18h40m57.21s,280.238365,-13d22m57.00s,-13.3824997,-3.78099,19.82504,9.69842,280.0995,16.9658,9.76915,8.682,280.238365,-13.3824997
GJ 806 b,GJ 806,b,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,1.331,0.119,1.9,0.00598,4.4,M1.5 V,0.41,0.41,[Fe/H],5.0,8.6,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,1.00774,84.07015,58.90555,335.63331,12.0445,9.82461,8.72762,311.2697002,44.5002351
GJ 806 c,GJ 806,c,1,2,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,2.28,0.203,5.8,0.01825,2.69,M1.5 V,0.41,0.41,[Fe/H],5.0,8.6,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,1.00774,84.07015,58.90555,335.63331,12.0445,9.82461,8.72762,311.2697002,44.5002351
GJ 9404 b,GJ 9404,b,1,1,0,Radial Velocity,2023,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,3.48,0.31,11.9,0.03744,1.55,M2V,0.63,0.62,,,3.4983,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,82.80097,201.04684,27.75583,172.14518,23.8839,9.87021,8.85,184.8472095,28.3827126
HAT-P-2 c,HAT-P-2,c,1,2,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,12.4,1.11,3400.76395,10.7,9.8,F8,1.42,1.33,[M/H],1.44,0.434,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,45.2323,65.02085,61.01151,229.15796,127.774,8.59842,8.27468,245.1514324,41.0479601
HD 108202 b,HD 108202,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,13.1,1.17,953.48522,3.0,2.33,K4/5 V,0.66,0.74,[M/H],6.5,3.47438,12h25m50.72s,186.4613189,-01d06m39.32s,-1.1109233,61.09684,289.6044,1.54524,186.36792,38.6846,9.78272,9.0565,186.4613189,-1.1109233
