,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
0,75 Cet c,0.9120+0.0880−0.1430,,2051.62+45.98−40.47,3.929+0.058−0.052,,radial vel.,270.58326±2.36023,1.92+0.07−0.08,4809,[1]
1,AF Leporis b,3.2+0.7−0.6,,8030±1800,8.4+1.1−1.3,1400±300,imaging,87.562±0.046,1.20±0.06,6130±60,Host star also known as HD 35850[2][3][4]
2,AU Microscopii d,0.00331±0.00161,,12.73596±0.00793,0.1108±0.0020,459+13−12,transit,32,0.510+0.028−0.027,3678+90−88,Potentially rocky super-Earth.[5][6]
3,BD-21 397 b,0.7±0.1,,1891+56−48,2.63+0.06−0.05,,radial vel.,77.4046+0.0744−0.0740,0.679±0.017,4051±239,[7]
4,BD-21 397 c,2.4+1.5−0.7,,6360+6260−711,5.9+3.4−0.5,,radial vel.,77.4046+0.0744−0.0740,0.679±0.017,4051±239,[7]
5,DMPP-4 b,0.0384+0.0057−0.0060,,3.4982+0.0022−0.2327,,,radial vel.,82.6101+0.1246−0.1239,1.25±0.02,6400±50,[8]
6,EPIC 229004835 b,0.0327+0.0050−0.0047,0.2080+0.0071−0.0084,16.141132±0.000019,0.1237±0.0017,804±10,transit,398.255+2.867−2.825,0.970±0.040,5868±60,[9]
7,Gliese 328 c,0.0673+0.0107−0.0101,,241.8+1.3−1.7,0.657+0.026−0.028,,radial vel.,66.96874±0.54957,0.65±0.08,3897±71,[10]
8,Gliese 367 c,0.0130±0.0011,,11.5301±0.0078,,,radial vel.,30.69986±0.00925,0.455±0.011,3522±70,[11]
9,Gliese 367 d,0.0190±0.0015,,34.369±0.073,,,radial vel.,30.69986±0.00925,0.455±0.011,3522±70,[11]
10,Gliese 806 b,0.006±0.00053,0.11874±0.00205,0.9263237±0.0000009,0.1406±0.0003,940.0±10.0,transit,39.348,0.413±0.011,3600±16,[12] Host star also known as TOI-4481[13]
11,Gliese 806 c,0.0182±0.0009,,6.65064±0.00025,0.0523±0.001,480.0±5.0,radial vel.,39.348,0.413±0.011,3600±16,[12] Host star also known as TOI-4481[14]
12,GJ 1151 c,0.03341+0.00412−0.00463,0.29[15],389.7+5.4−6.5,0.5714+0.0053−0.0064,,radial vel.,26.23±0.01,0.1639±0.0093,3143±26,[16] Planet on 2-day orbit was suspected but refuted in 2021[17][18]
13,GJ 9404 b,0.0374±0.0060,,13.4586+0.0044−0.0067,0.0943±0.0036,,radial vel.,77.8988+0.0828−0.0825,0.62±0.07,,[19]
14,HAT-P-2 c,10.7+5.2−2.2,,8500+2600−1500,,,radial vel.,416.744+1.386−1.380,1.33±0.03,6412.830+102.682−110.120,Also known as HD 147506 c[20]
15,HD 6860 b,28.26+2.05−2.17,,663.87+4.61−4.31,2.03±0.01,,radial vel.,199.36184±9.26130,2.49,3802,Host star also known as Beta Andromedae[21]
